"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 04 22:53:31 MSK 2024","Thu Jan 04 22:53:43 MSK 2024","11940","","CalcTest","","CalcTest","checkCalculatePlus","Плюс",""
"passed","Thu Jan 04 22:53:05 MSK 2024","Thu Jan 04 22:53:18 MSK 2024","12669","","CalcTest","","CalcTest","checkCalculateMinus","Минус",""
"passed","Thu Jan 04 22:53:18 MSK 2024","Thu Jan 04 22:53:31 MSK 2024","12834","","CalcTest","","CalcTest","checkCalculateDivide","Деление",""
"passed","Thu Jan 04 22:53:43 MSK 2024","Thu Jan 04 22:53:54 MSK 2024","11911","","CalcTest","","CalcTest","checkCalculateMultiply","Умножение",""
